,author_name,bin,domain_name,first_author,author_corresponding,counts,work_citedby,Summary_Country,Summary_Institution
0,A A Quyyumi,0,Health Sciences,0,0,1,0,,
1,A A Quyyumi,2,Health Sciences,0,0,1,0,,
2,A A Quyyumi,4,Health Sciences,0,0,3,39,,
3,A A Quyyumi,6,Health Sciences,0,0,2,1,,
4,A Alaweih,6,Health Sciences,0,0,1,0,,
5,A Alawieh,6,Health Sciences,0,0,5,1,,
6,A Anisuzzaman,6,Health Sciences,0,0,1,0,,
7,A Babiker,6,Life Sciences,0,0,2,0,,
8,A Bass,6,Health Sciences,0,0,1,1,AU:1;,Western Sydney University:1;
9,A Bass,6,Social Sciences,0,0,1,1,,
10,A Calderón,6,Health Sciences,0,0,1,0,,
11,A Camacho-Gonzalez,6,Health Sciences,0,0,1,0,,
12,A Dacosta,6,Life Sciences,0,0,1,0,,
13,A Gomez Lopez,6,Health Sciences,0,0,1,0,,
14,A K M Nawshad Hossian,6,Health Sciences,1,0,2,11,,
15,A K Nooka,3,Health Sciences,1,0,2,483,,
16,A K Nooka,4,Health Sciences,0,0,4,371,,
17,A K Nooka,5,Health Sciences,0,0,2,1,,
18,A K Nooka,6,Health Sciences,1,1,3,13,IN:1;,Cancer Institute (WIA):1;
19,A Namazi,6,Life Sciences,0,0,2,2,,
20,A Page,6,Life Sciences,0,0,2,0,,
21,A Pall,6,Health Sciences,0,0,2,0,,
22,A Rai,6,Health Sciences,0,0,1,0,,West Virginia University:5;
23,A Ramanand,6,Health Sciences,1,0,1,0,,Ochsner Medical Center:1;
24,A Rich,6,Health Sciences,1,0,1,0,,Georgia State University:1;
25,A Tichacek,6,Social Sciences,0,0,1,1,RW:1;,Rwanda Zambia HIV Research Group:1;
26,A Tovar,6,Health Sciences,1,0,4,5,,
27,A Undilashvili,6,Health Sciences,0,0,1,1,,
28,A. Alfred Chahine,5,Social Sciences,0,0,1,12,,Children's Healthcare of Atlanta:1;
29,A. Alfred Chahine,6,Health Sciences,0,0,3,37,,Children's Healthcare of Atlanta:1;
30,A. Alfred Chahine,6,Social Sciences,0,0,1,0,,
31,A. Alkhder,6,Health Sciences,0,0,1,0,,
32,A. Alsouhibani,6,Health Sciences,1,0,2,1,SA:1;,Qassim University:1;
33,A. Arunkumar Sharma,6,Health Sciences,0,0,1,0,,
34,A. Ayala,6,Health Sciences,1,0,2,0,,
35,A. Babiker,6,Life Sciences,0,0,1,0,,
36,A. C. Hutto,6,Health Sciences,0,0,1,0,,Durham VA Medical Center:1;
37,A. Cammarata-Mouchtouris,6,Health Sciences,1,0,3,0,,Children's Healthcare of Atlanta:1;
38,A. Campbell Sullivan,6,Health Sciences,0,0,1,0,,The University of Texas Health Science Center at San Antonio:1;
39,A. Cecile J.W. Janssens,3,Health Sciences,3,3,8,246,NL:3;,Erasmus MC:2;Erasmus University Rotterdam:1;
40,A. Cecile J.W. Janssens,3,Life Sciences,0,2,6,223,NL:3;,Erasmus MC:3;
41,A. Cecile J.W. Janssens,3,Social Sciences,0,1,1,8,,
42,A. Cecile J.W. Janssens,4,Health Sciences,4,4,8,208,NL:1;,EMGO Institute for Health and Care Research:1;
43,A. Cecile J.W. Janssens,4,Life Sciences,5,4,7,132,NL:2;,EMGO Institute for Health and Care Research:2;
44,A. Cecile J.W. Janssens,4,Physical Sciences,0,1,2,8,,
45,A. Cecile J.W. Janssens,4,Social Sciences,3,2,6,106,NL:3;,EMGO Institute for Health and Care Research:3;
46,A. Cecile J.W. Janssens,5,Health Sciences,4,4,8,314,NL:1;,EMGO Institute for Health and Care Research:1;
47,A. Cecile J.W. Janssens,5,Life Sciences,3,3,5,149,,
48,A. Cecile J.W. Janssens,5,Social Sciences,7,5,9,77,,
49,A. Cecile J.W. Janssens,6,Health Sciences,0,0,1,6,,
50,A. Cecile J.W. Janssens,6,Life Sciences,0,1,2,308,,
51,A. Chahroudi,6,Health Sciences,0,0,1,0,,Children's Healthcare of Atlanta:1;
52,A. Chahroudi,6,Life Sciences,0,0,1,2,,
53,A. D. McNaghten,3,Health Sciences,1,0,3,137,,Centers for Disease Control and Prevention:1;
54,A. D. McNaghten,4,Health Sciences,0,0,2,40,,National Center for HIV/AIDS Viral Hepatitis STD and TB Prevention:2;
55,A. D. McNaghten,5,Health Sciences,0,2,3,75,,National Center for HIV/AIDS Viral Hepatitis STD and TB Prevention:1;
56,A. D. McNaghten,6,Health Sciences,0,0,1,5,,Centers for Disease Control and Prevention:1;
57,A. D. Morse,6,Social Sciences,0,0,1,0,,
58,A. Duggal,6,Life Sciences,0,0,1,0,,
59,A. Fatih Sarioglu,5,Health Sciences,0,1,1,34,,Georgia Institute of Technology:1;
60,A. Fatih Sarioglu,6,Physical Sciences,0,0,2,46,,Georgia Institute of Technology:2;
61,A. Fischer,6,Health Sciences,0,0,1,0,,
62,A. Freeman,1,Life Sciences,0,0,2,238,,
63,A. Freeman,2,Life Sciences,2,0,2,47,,
64,A. Freeman,3,Health Sciences,3,0,3,146,,
65,A. Freeman,3,Life Sciences,2,0,5,378,,AID Atlanta:1;
66,A. Freeman,4,Health Sciences,1,0,1,0,,
67,A. Freeman,4,Life Sciences,1,1,2,5,,Emory and Henry College:1;
68,A. Freeman,4,Physical Sciences,0,0,1,25,UA:1;,Institute of Cell Biology:1;
69,A. Freeman,5,Health Sciences,1,0,4,21,,
70,A. Freeman,5,Life Sciences,0,0,3,19,UG:1;,"Center for Health, Human Rights and Development:1;"
71,A. Freeman,6,Health Sciences,0,0,1,7,,
72,A. Freeman,6,Life Sciences,0,0,2,1,UA:1;,Institute of Cell Biology:1;
73,A. G. Gordon,6,Physical Sciences,0,0,1,0,,
74,A. Gent,6,Health Sciences,0,0,1,0,,
75,A. Gerges,6,Health Sciences,0,0,1,1,,
76,A. Gill,6,Health Sciences,1,0,1,0,,
77,A. Grant,6,Health Sciences,0,0,1,0,,Grady Health System:1;
78,A. Harutyunyan,6,Health Sciences,0,0,1,1,,
79,A. Horner,6,Life Sciences,0,0,1,2,,
80,A. Horswill,6,Life Sciences,0,0,1,0,,Children's Center:1;
81,A. Ionescu,6,Life Sciences,1,0,2,9,,
82,A. J. Swain,6,Health Sciences,0,0,2,0,,Emory Healthcare:1;
83,A. Jani,5,Health Sciences,0,0,1,0,,
84,A. Jani,6,Health Sciences,0,0,1,0,,
85,A. Jay Freeman,4,Health Sciences,2,4,8,119,,Children's Healthcare of Atlanta:3;
86,A. Jay Freeman,4,Life Sciences,1,1,1,0,,
87,A. Jay Freeman,5,Health Sciences,2,2,14,369,,Children's Healthcare of Atlanta:7;
88,A. Jay Freeman,6,Health Sciences,4,6,14,144,,Children's Healthcare of Atlanta:13;Nationwide Children's Hospital:3;
89,A. John Rush,0,Social Sciences,0,0,1,759,,The University of Texas Southwestern Medical Center:3;
90,A. John Rush,6,Life Sciences,0,0,1,3,NL:1;SG:4;,Duke University:5;GGZ inGeest:1;National University of Singapore:4;
91,A. Johnson,5,Health Sciences,0,0,2,25,,
92,A. Johnson,6,Health Sciences,3,0,6,53,,
93,A. Johnson,6,Life Sciences,0,0,2,93,,
94,A. Jung,6,Health Sciences,0,0,1,0,,
95,A. K. A. MOHAMMED,6,Physical Sciences,0,0,1,0,,
96,A. K. Nooka,6,Health Sciences,0,0,3,3,,
97,A. Keith,6,Life Sciences,2,1,2,1,GB:2;,University of Cambridge:2;
98,A. Khan,6,Health Sciences,1,0,2,0,,Carilion Clinic:1;
99,A. Kofi Amegah,6,Physical Sciences,0,0,1,25,,Institute for Health Metrics and Evaluation:1;
100,A. Lyland,6,Health Sciences,0,0,1,0,,
101,A. Maziar Zafari,0,Health Sciences,1,0,3,254,,Veterans Health Administration:1;
102,A. Maziar Zafari,1,Health Sciences,0,0,5,216,,
103,A. Maziar Zafari,1,Life Sciences,0,1,1,28,,
104,A. Maziar Zafari,2,Health Sciences,1,1,5,207,,
105,A. Maziar Zafari,2,Life Sciences,0,0,2,45,,Veterans Health Administration:1;
106,A. Maziar Zafari,3,Health Sciences,0,0,13,661,,Atlanta VA Medical Center:2;
107,A. Maziar Zafari,3,Life Sciences,0,0,3,111,,
108,A. Maziar Zafari,4,Health Sciences,0,0,8,78,,Atlanta Medical Center:1;Atlanta VA Medical Center:1;
109,A. Maziar Zafari,4,Life Sciences,0,0,3,262,,Baptist Health South Florida:1;
110,A. Maziar Zafari,5,Health Sciences,0,0,1,33,,Veterans Health Administration:1;
111,A. Maziar Zafari,6,Health Sciences,0,0,1,1,,
112,A. Mitchell,6,Health Sciences,0,0,1,0,,
113,A. Mokhtari,6,Health Sciences,0,0,1,1,,
114,A. Mora,6,Health Sciences,0,0,1,0,,
115,A. Morris,6,Health Sciences,0,0,1,0,,
116,A. Mushtaq,6,Health Sciences,1,0,1,0,,
117,A. Mustapha,6,Health Sciences,0,0,1,0,,
118,A. Neunuebel,6,Health Sciences,0,0,1,0,,
119,A. Nooka,6,Health Sciences,0,0,1,0,,
120,A. Obisesan,6,Physical Sciences,0,0,1,0,,
121,A. Othman,6,Social Sciences,0,0,1,0,,
122,A. Peralta De Avila,6,Life Sciences,1,0,1,0,,
123,A. Pimentel,6,Health Sciences,0,0,1,0,,
124,A. R. Moore,6,Health Sciences,0,0,1,0,,Northwestern University:1;Stanford University:1;
125,A. Rab,6,Health Sciences,0,0,1,0,,Johns Hopkins Medicine:1;
126,A. Rathery,6,Life Sciences,0,0,1,0,GB:1;,University of Roehampton:1;
127,A. Razzaque Ahmed,6,Health Sciences,0,0,1,1,,
128,A. Razzaque Ahmed,6,Life Sciences,0,0,1,2,,
129,A. Richey Sharrett,4,Health Sciences,0,0,1,49,,Bloomberg (United States):1;Johns Hopkins University:3;University of Minnesota:1;
130,A. Richey Sharrett,5,Health Sciences,0,0,1,34,,Johns Hopkins University:7;
131,A. Richey Sharrett,6,Health Sciences,0,0,1,0,,Johns Hopkins University:1;
132,A. Ryce,6,Health Sciences,2,0,2,0,,
133,A. Salindri,6,Health Sciences,0,0,1,1,,
134,A. Schauer,6,Health Sciences,0,0,1,0,,
135,A. Somasundaram,6,Health Sciences,0,0,1,12,,
136,A. Stecenko,6,Life Sciences,0,0,1,0,,
137,A. Streby,6,Health Sciences,0,0,2,0,,
138,A. T. Austin,6,Health Sciences,0,0,4,0,GB:1;,American College of Rheumatology:1;Durham VA Medical Center:2;eLearning Studios (United Kingdom):1;
139,A. Thompson,6,Health Sciences,0,0,1,5,,
140,A. Truong,6,Health Sciences,0,0,2,0,,
141,A. V. Mitrofanov,6,Physical Sciences,0,0,1,2,,
142,A. Van Beuningen,6,Physical Sciences,0,0,1,1,,
143,A. Vazquez Cegla,6,Health Sciences,2,0,2,0,,Children's Healthcare of Atlanta:1;University of Illinois Urbana-Champaign:1;
144,A. Vazquez Cegla,6,Life Sciences,0,0,1,0,,Children's Healthcare of Atlanta:1;
145,A. Vazquez Cegla,6,Physical Sciences,1,0,1,0,,
