,bin,domain_name,first_author,author_corresponding,counts,work_citedby
0,0,Health Sciences,754,379,2602,198998
1,0,Life Sciences,449,274,1711,151247
2,0,Physical Sciences,185,113,612,39137
3,0,Social Sciences,422,259,763,65177
4,1,Health Sciences,1330,676,4807,296784
5,1,Life Sciences,622,373,2753,242192
6,1,Physical Sciences,280,148,949,63995
7,1,Social Sciences,683,443,1229,79058
8,2,Health Sciences,1841,1010,7837,448232
9,2,Life Sciences,891,597,4337,336468
10,2,Physical Sciences,314,150,1237,76074
11,2,Social Sciences,811,504,1613,96737
12,3,Health Sciences,2604,1493,14946,616892
13,3,Life Sciences,1088,761,6465,363983
14,3,Physical Sciences,331,186,1765,64995
15,3,Social Sciences,841,542,2011,77190
16,4,Health Sciences,3706,2952,22935,853096
17,4,Life Sciences,1351,1268,8202,394348
18,4,Physical Sciences,574,360,2331,88635
19,4,Social Sciences,1116,903,2909,99416
20,5,Health Sciences,5728,5023,36828,887729
21,5,Life Sciences,1946,1932,12658,331611
22,5,Physical Sciences,772,823,4598,110732
23,5,Social Sciences,1507,1300,4838,92766
24,6,Health Sciences,9787,6852,66536,509700
25,6,Life Sciences,3349,2446,21633,149051
26,6,Physical Sciences,1870,1132,9947,72110
27,6,Social Sciences,2777,2128,9979,52104
