,bin,field_name,first_author,author_corresponding,counts,work_citedby
0,0,Agricultural and Biological Sciences,10,9,35,2382
1,0,Arts and Humanities,24,21,26,514
2,0,"Biochemistry, Genetics and Molecular Biology",234,148,899,70701
3,0,"Business, Management and Accounting",52,31,88,8882
4,0,Chemical Engineering,1,0,5,309
5,0,Chemistry,25,11,114,7337
6,0,Computer Science,27,13,75,1455
7,0,Decision Sciences,17,9,26,1184
8,0,Dentistry,2,1,4,28
9,0,Earth and Planetary Sciences,0,1,7,362
10,0,"Economics, Econometrics and Finance",78,43,165,8516
11,0,Energy,1,0,4,88
12,0,Engineering,30,16,78,2742
13,0,Environmental Science,35,31,83,8853
14,0,Health Professions,66,36,154,12416
15,0,Immunology and Microbiology,72,47,357,39527
16,0,Materials Science,13,14,111,11400
17,0,Mathematics,24,13,52,1559
18,0,Medicine,668,331,2387,182560
19,0,Neuroscience,123,66,394,38084
20,0,Nursing,15,10,54,3966
21,0,"Pharmacology, Toxicology and Pharmaceutics",10,4,26,553
22,0,Physics and Astronomy,29,14,83,5032
23,0,Psychology,100,46,231,36222
24,0,Social Sciences,151,109,227,9859
25,0,Veterinary,3,1,3,28
26,1,Agricultural and Biological Sciences,21,15,54,2720
27,1,Arts and Humanities,64,59,73,1805
28,1,"Biochemistry, Genetics and Molecular Biology",343,203,1596,131573
29,1,"Business, Management and Accounting",70,42,130,7071
30,1,Chemical Engineering,2,0,4,136
31,1,Chemistry,29,18,153,5229
32,1,Computer Science,44,19,134,4133
33,1,Decision Sciences,34,20,57,1874
34,1,Dentistry,2,1,7,772
35,1,Earth and Planetary Sciences,6,4,18,366
36,1,"Economics, Econometrics and Finance",126,72,216,8775
37,1,Energy,2,1,8,636
38,1,Engineering,37,23,105,4328
39,1,Environmental Science,41,26,104,12832
40,1,Health Professions,90,46,241,11874
41,1,Immunology and Microbiology,98,65,528,45380
42,1,Materials Science,32,18,180,28661
43,1,Mathematics,54,30,119,4172
44,1,Medicine,1220,618,4464,273340
45,1,Neuroscience,155,88,546,61964
46,1,Nursing,18,11,95,10798
47,1,"Pharmacology, Toxicology and Pharmaceutics",5,2,29,555
48,1,Physics and Astronomy,33,9,124,3502
49,1,Psychology,116,68,316,38078
50,1,Social Sciences,273,182,437,21455
51,2,Agricultural and Biological Sciences,25,11,85,5362
52,2,Arts and Humanities,103,79,125,886
53,2,"Biochemistry, Genetics and Molecular Biology",479,316,2504,157492
54,2,"Business, Management and Accounting",71,45,137,9217
55,2,Chemical Engineering,0,0,1,49
56,2,Chemistry,40,23,193,10110
57,2,Computer Science,51,21,171,4775
58,2,Decision Sciences,20,11,50,757
59,2,Dentistry,1,2,7,170
60,2,Earth and Planetary Sciences,8,3,17,500
61,2,"Economics, Econometrics and Finance",95,46,197,7624
62,2,Energy,5,0,19,6919
63,2,Engineering,37,16,134,3397
64,2,Environmental Science,48,20,182,11352
