,bin,name,first_author,author_corresponding,counts,work_citedby
0,0,"14-3-3 Proteins: Structure, Function, and Regulation",1,0,7,763
1,0,3D Bioprinting Technology,0,0,2,8
2,0,3D Concrete Printing Technology,1,0,1,0
3,0,Abdominal Compartment Syndrome and Intra-abdominal Hypertension,1,0,4,362
4,0,Acquisition and Development of Sign Language,0,0,1,43
5,0,Acute Myeloid Leukemia,7,6,23,256
6,0,Adaptation of Tendon and Skeletal Muscle to Mechanical Loading,1,0,2,58
7,0,Addressing Racial and Ethnic Disparities in Healthcare through Cultural Competence,4,0,4,44
8,0,Adolescent Sexual Health and Behavior Patterns,13,10,48,4788
9,0,Adult Neurogenesis and Brain Development,0,0,3,348
10,0,Advanced Cardiac Imaging Techniques and Diagnostics,2,1,28,351
11,0,Advanced Techniques in Bioimage Analysis and Microscopy,1,1,1,3
12,0,Advancements in Biomedical Science and Health Research,0,0,1,1
13,0,Advancements in Density Functional Theory,4,2,40,3273
14,0,Advancements in Lung Cancer Research,1,1,3,32
15,0,Advancements in Prostate Cancer Research,3,1,6,362
16,0,Advancements in Transplantation Procedures and Outcomes,0,0,1,0
17,0,Advancing Evidence-Based Practice Implementation in Healthcare,2,1,2,6
18,0,Age-Related Macular Degeneration Research,1,1,5,525
19,0,American Political Thought and History,16,16,17,37
20,0,Amino Acid Transport and Metabolism in Health and Disease,3,1,9,931
21,0,Amyotrophic Lateral Sclerosis and Frontotemporal Dementia,0,2,6,4575
22,0,Analysis of Brain Functional Connectivity Networks,2,1,7,45
23,0,Analysis of Electromyography Signal Processing,2,1,5,171
24,0,Analysis of Gene Interaction Networks,1,1,3,995
25,0,Analysis of Intellectual Property Rights and Innovation,7,7,8,54
26,0,Ancient Magical Practices and Beliefs,1,1,1,0
27,0,Anesthesia and Sedation Management,1,0,9,233
28,0,Animal Research Studies,3,1,3,28
29,0,Anticipating Critical Transitions in Ecosystems,0,0,2,3470
30,0,Antimicrobial Peptides in Host Defense and Therapy,0,0,10,1211
31,0,Antiplatelet Therapy in Cardiovascular Disease,0,0,3,280
32,0,Application of 3D Printing in Medical Anatomy Education,1,2,2,236
33,0,Application of Fuzzy Cognitive Maps in Modeling,1,1,1,0
34,0,Application of Genetic Programming in Machine Learning,2,1,2,80
35,0,Application of Real Options in Investment Strategies,0,0,1,0
36,0,Applications of 3D City Models,1,0,1,6
37,0,Applications of Calorimetry in Scientific Research,0,0,1,177
38,0,Applications of Electroporation in Biotechnology and Food Processing,0,0,3,39
39,0,Applications of Quantum Dots in Nanotechnology,1,2,17,5853
40,0,Arsenic Contamination in Natural Waters,0,0,1,37
41,0,Arterial Stiffness and Cardiovascular Health,1,1,3,220
42,0,Aryne Chemistry in Organic Synthesis,0,0,1,19
43,0,Assessment of Decisional Capacity in Psychiatry,1,0,1,67
44,0,Asset Pricing and Market Efficiency,18,7,29,3524
45,0,Asthma,1,0,8,1184
46,0,Atmospheric Aerosols and their Impacts,0,0,1,21
47,0,Atom Probe Tomography Research,1,0,2,0
48,0,Atomic Force Microscopy Techniques,0,0,1,0
49,0,Atopic Dermatitis and Skin Microbiome,0,0,1,38
50,0,Atrial Fibrillation,1,0,9,445
51,0,Attention-Deficit/Hyperactivity Disorder,4,3,12,1081
52,0,Authorship Attribution and User Profiling in Text,1,0,1,1
53,0,Autism Spectrum Disorders,1,1,1,1
54,0,Automated Spine Segmentation and Identification,0,0,1,1
55,0,Automatic Keyword Extraction from Textual Data,0,0,1,0
56,0,Avian Ecology and Climate Change Impacts,1,0,1,15
57,0,Avian Vocal Communication and Evolutionary Implications,1,1,3,46
58,0,Bacterial Biofilms and Quorum Sensing Mechanisms,1,1,1,178
59,0,Bacterial Physiology and Genetics,0,1,1,17
60,0,Banking and Finance in Economic Systems,1,1,1,1
61,0,Bartonella Infections and Zoonotic Potential,1,2,3,37
62,0,Bayesian Monte Carlo Methods in Scientific Inference,0,0,1,10
