,bin,subfield_name,first_author,author_corresponding,counts,work_citedby
0,0,Accounting,10,4,28,1775
1,0,Aging,3,3,14,1007
2,0,Agronomy and Crop Science,0,0,5,286
3,0,Anatomy,1,1,1,71
4,0,Anesthesiology and Pain Medicine,3,1,12,370
5,0,Animal Science and Zoology,0,0,2,16
6,0,Anthropology,4,4,4,2
7,0,Applied Mathematics,2,1,2,15
8,0,Applied Microbiology and Biotechnology,2,3,4,403
9,0,Applied Psychology,0,0,4,220
10,0,Archeology,1,1,1,0
11,0,Architecture,1,1,1,12
12,0,Artificial Intelligence,4,2,7,147
13,0,Astronomy and Astrophysics,2,1,6,25
14,0,Atmospheric Science,0,1,4,168
15,0,"Atomic and Molecular Physics, and Optics",10,4,53,4013
16,0,Automotive Engineering,1,2,4,426
17,0,Behavioral Neuroscience,18,8,51,10335
18,0,Biochemistry,7,2,50,4316
19,0,Biological Psychiatry,6,2,13,2391
20,0,Biomaterials,1,1,15,1572
21,0,Biomedical Engineering,14,11,36,1561
22,0,Biophysics,1,1,1,3
23,0,Biotechnology,1,3,9,685
24,0,Building and Construction,2,0,2,6
25,0,Business and International Management,1,1,1,61
26,0,Cancer Research,7,8,47,3244
27,0,Cardiology and Cardiovascular Medicine,41,13,185,9565
28,0,Catalysis,1,0,3,120
29,0,Cell Biology,17,7,55,5693
30,0,Cellular and Molecular Neuroscience,34,26,153,12631
31,0,Chemical Health and Safety,0,0,1,1
32,0,Civil and Structural Engineering,0,0,1,0
33,0,Clinical Biochemistry,4,3,17,957
34,0,Clinical Psychology,38,10,88,13092
35,0,Cognitive Neuroscience,35,20,68,4844
36,0,Communication,0,0,1,73
37,0,Complementary and alternative medicine,0,0,5,170
38,0,Computational Mechanics,2,1,6,58
39,0,Computational Theory and Mathematics,6,2,16,144
40,0,Computer Networks and Communications,11,7,41,879
41,0,Computer Vision and Pattern Recognition,4,0,5,248
42,0,Condensed Matter Physics,13,9,14,302
43,0,Critical Care and Intensive Care Medicine,3,2,5,73
44,0,Cultural Studies,5,4,5,281
45,0,Dermatology,8,6,16,659
46,0,Developmental Biology,1,1,3,46
47,0,Developmental Neuroscience,6,0,24,1843
48,0,Developmental and Educational Psychology,10,4,22,5466
49,0,Discrete Mathematics and Combinatorics,6,5,20,719
50,0,Earth-Surface Processes,0,0,1,56
51,0,Ecology,13,10,26,1259
52,0,"Ecology, Evolution, Behavior and Systematics",0,1,3,62
53,0,Economics and Econometrics,51,29,106,4029
54,0,Education,7,3,11,1470
55,0,Electrical and Electronic Engineering,6,0,22,575
56,0,Electrochemistry,0,0,5,363
57,0,"Electronic, Optical and Magnetic Materials",0,0,6,678
58,0,Emergency Medical Services,4,3,11,149
59,0,Emergency Medicine,13,7,33,880
60,0,Endocrine and Autonomic Systems,7,4,39,2737
61,0,Endocrinology,3,2,17,1274
62,0,"Endocrinology, Diabetes and Metabolism",26,14,75,6363
63,0,Environmental Chemistry,0,0,3,185
64,0,Environmental Engineering,1,2,2,0
65,0,Epidemiology,63,37,229,23202
66,0,Experimental and Cognitive Psychology,15,9,33,3202
67,0,Finance,20,8,38,3676
68,0,Fluid Flow and Transfer Processes,0,0,1,188
69,0,Food Science,3,2,12,1531
70,0,Gastroenterology,7,4,16,442
71,0,Gender Studies,11,8,16,458
72,0,General Decision Sciences,4,2,6,55
73,0,"General Economics, Econometrics and Finance",7,6,21,811
74,0,General Health Professions,51,27,117,10466
75,0,General Psychology,3,2,4,68
76,0,Genetics,49,17,170,13273
77,0,"Geography, Planning and Development",2,1,2,11
78,0,Geometry and Topology,2,1,3,251
79,0,Geriatrics and Gerontology,2,0,7,32
80,0,Global and Planetary Change,2,1,5,3619
81,0,Hardware and Architecture,0,0,1,1
82,0,Health,12,8,36,1036
83,0,"Health, Toxicology and Mutagenesis",15,15,42,3721
84,0,Hematology,40,20,140,6975
85,0,Hepatology,3,1,40,3584
86,0,History,6,5,6,72
87,0,History and Philosophy of Science,2,2,2,3
88,0,Immunology,45,23,215,28852
89,0,Immunology and Allergy,3,3,26,2264
90,0,Infectious Diseases,16,14,103,7850
91,0,Information Systems,1,1,2,27
92,0,Information Systems and Management,3,1,4,31
93,0,Inorganic Chemistry,5,4,17,583
94,0,Insect Science,1,0,2,15
95,0,Internal Medicine,1,1,3,118
96,0,"Issues, ethics and legal aspects",3,1,4,131
97,0,Law,9,7,9,66
98,0,Linguistics and Language,1,0,1,1
99,0,Literature and Literary Theory,1,1,1,2
100,0,Management Information Systems,3,1,3,918
101,0,Management Science and Operations Research,7,5,8,730
102,0,Management of Technology and Innovation,11,9,16,191
103,0,"Management, Monitoring, Policy and Law",1,1,1,0
104,0,Marketing,5,2,10,705
105,0,Materials Chemistry,11,12,85,9135
106,0,Mathematical Physics,2,0,2,2
107,0,Mechanics of Materials,2,0,4,43
108,0,Media Technology,2,1,2,61
109,0,Medical Laboratory Technology,0,0,1,0
110,0,Microbiology,2,5,41,3375
111,0,Modeling and Simulation,0,0,1,31
112,0,Molecular Biology,146,96,543,41350
113,0,Molecular Medicine,1,4,7,1787
114,0,Music,5,4,6,378
115,0,Nature and Landscape Conservation,3,2,4,69
116,0,Nephrology,9,5,18,1955
117,0,Neurology,42,24,148,24445
118,0,Numerical Analysis,1,1,1,74
119,0,Nutrition and Dietetics,12,9,50,3835
120,0,Obstetrics and Gynecology,4,2,12,225
121,0,Oceanography,0,0,1,52
122,0,Oncology,31,18,120,8207
123,0,Ophthalmology,15,7,45,1517
124,0,Organic Chemistry,16,6,69,1988
125,0,Organizational Behavior and Human Resource Management,12,5,16,1646
126,0,Orthopedics and Sports Medicine,2,0,4,148
127,0,Otorhinolaryngology,6,2,16,1069
128,0,Paleontology,0,0,1,86
129,0,Parasitology,4,4,7,133
130,0,Pathology and Forensic Medicine,27,7,103,5707
131,0,"Pediatrics, Perinatology and Child Health",50,28,108,11734
132,0,Periodontics,2,1,4,28
133,0,Pharmaceutical Science,3,1,7,120
134,0,Pharmacology,14,10,46,2742
135,0,Pharmacy,5,5,9,741
136,0,Philosophy,7,6,8,57
137,0,"Physical Therapy, Sports Therapy and Rehabilitation",2,0,6,863
138,0,Physical and Theoretical Chemistry,0,0,1,177
139,0,Physiology,31,17,125,18382
140,0,Plant Science,6,6,11,472
141,0,Political Science and International Relations,45,39,58,1670
142,0,Psychiatry and Mental health,20,9,61,4071
143,0,Public Administration,1,1,1,2
144,0,"Public Health, Environmental and Occupational Health",43,19,114,5379
145,0,Pulmonary and Respiratory Medicine,28,14,115,9233
146,0,Radiation,1,0,6,587
147,0,Radiological and Ultrasound Technology,0,0,1,186
148,0,"Radiology, Nuclear Medicine and Imaging",19,9,127,3814
149,0,Rehabilitation,3,2,22,3266
150,0,Religious studies,2,2,2,2
151,0,"Renewable Energy, Sustainability and the Environment",1,0,4,88
152,0,Reproductive Medicine,4,1,11,880
153,0,Rheumatology,13,6,29,1064
154,0,Safety Research,6,4,18,2215
155,0,Sensory Systems,8,0,19,1708
156,0,Signal Processing,1,1,3,9
157,0,Small Animals,3,1,3,28
158,0,Social Psychology,34,21,80,14174
159,0,Sociology and Political Science,46,28,63,2436
160,0,Spectroscopy,4,1,22,4226
161,0,Speech and Hearing,4,1,9,11
162,0,Statistical and Nonlinear Physics,3,0,4,105
163,0,Statistics and Probability,11,5,23,467
164,0,"Statistics, Probability and Uncertainty",3,1,8,368
165,0,Strategy and Management,9,8,13,3543
166,0,Structural Biology,3,2,5,69
167,0,"Surfaces, Coatings and Films",1,1,5,15
168,0,Surgery,71,31,218,11462
169,0,"Tourism, Leisure and Hospitality Management",1,1,1,43
170,0,Toxicology,5,2,13,281
171,0,Transplantation,4,1,29,2509
172,0,Urban Studies,2,2,2,138
173,0,Urology,4,1,14,877
174,0,Virology,19,12,90,6764
175,1,Accounting,19,9,39,2387
176,1,Aerospace Engineering,4,1,4,11
177,1,Aging,11,4,26,844
178,1,Agronomy and Crop Science,1,1,1,2
179,1,Algebra and Number Theory,1,1,1,0
180,1,Analytical Chemistry,0,0,8,326
181,1,Anatomy,1,1,1,0
182,1,Anesthesiology and Pain Medicine,3,2,9,145
183,1,Animal Science and Zoology,3,1,4,67
184,1,Anthropology,10,10,10,60
185,1,Applied Mathematics,9,10,13,222
186,1,Applied Microbiology and Biotechnology,1,1,2,60
187,1,Applied Psychology,3,2,7,62
188,1,Archeology,3,1,3,2
189,1,Artificial Intelligence,13,2,38,1740
190,1,Astronomy and Astrophysics,2,2,3,0
191,1,Atmospheric Science,1,0,8,120
192,1,"Atomic and Molecular Physics, and Optics",12,3,60,2666
193,1,Behavioral Neuroscience,20,12,74,12061
194,1,Biochemistry,13,6,71,4711
195,1,Biological Psychiatry,5,1,33,9902
196,1,Biomaterials,9,3,53,15643
197,1,Biomedical Engineering,19,14,52,2913
198,1,Biophysics,2,1,7,319
199,1,Biotechnology,4,2,23,1472
200,1,Building and Construction,1,1,1,4
201,1,Cancer Research,18,10,88,5513
202,1,Cardiology and Cardiovascular Medicine,82,37,327,15652
203,1,Catalysis,1,0,3,136
204,1,Cell Biology,12,13,96,9317
205,1,Cellular and Molecular Neuroscience,53,23,213,17178
206,1,Chemical Health and Safety,1,0,1,0
207,1,Civil and Structural Engineering,0,0,2,4
208,1,Classics,2,2,2,1
209,1,Clinical Biochemistry,5,6,20,1573
210,1,Clinical Psychology,29,19,122,14713
