,domain_name,field_name,subfield_name,name
0,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Standards and Guidelines for Genetic Variant Interpretation
1,Health Sciences,Medicine,Epidemiology,Epidemiology and Management of Sepsis and Septic Shock
3,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Global Trends in Obesity and Overweight Research
4,Life Sciences,Neuroscience,Cognitive Neuroscience,Autism Spectrum Disorders
5,Physical Sciences,Environmental Science,"Health, Toxicology and Mutagenesis",Impact of Climate Change on Human Health
6,Health Sciences,Medicine,Genetics,Gliomas
8,Health Sciences,Nursing,Nutrition and Dietetics,Maternal and Child Nutrition in Developing Countries
9,Health Sciences,Medicine,Infectious Diseases,Coronavirus Disease 2019
10,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Management of Valvular Heart Disease
12,Health Sciences,Medicine,Infectious Diseases,Coronavirus Disease 2019 Research
16,Social Sciences,Psychology,Clinical Psychology,Impact of COVID-19 on Mental Health
17,Physical Sciences,Environmental Science,"Health, Toxicology and Mutagenesis",Health Effects of Air Pollution
18,Health Sciences,Medicine,Hepatology,Hepatitis C Infection and Treatment
20,Health Sciences,Medicine,Oncology,Cancer Survivorship and Quality of Life
21,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Genetics and Treatment of Inflammatory Bowel Disease
25,Health Sciences,Medicine,Oncology,Chimeric Antigen Receptor T Cell Therapy
26,Health Sciences,Medicine,Otorhinolaryngology,Epidemiology and Treatment of Head and Neck Cancer
27,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Advancements in Lung Cancer Research
28,Health Sciences,Medicine,Hematology,Diagnosis and Treatment of Multiple Myeloma
29,Health Sciences,Medicine,Neurology,Deep Brain Stimulation for Neurological Disorders
31,Social Sciences,Psychology,Clinical Psychology,Effects of Childhood Trauma and Adversity
32,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Metabolic Syndrome and Cardiovascular Disease
34,Physical Sciences,Environmental Science,Global and Planetary Change,Anticipating Critical Transitions in Ecosystems
35,Health Sciences,Medicine,Critical Care and Intensive Care Medicine,Management of Ventilator-associated Pneumonia in ICU Patients
37,Life Sciences,Neuroscience,Biological Psychiatry,Neuroimmune Interaction in Psychiatric Disorders
39,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Advances in Metabolomics Research
40,Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,Molecular Mechanisms of Synaptic Plasticity and Neurological Disorders
48,Social Sciences,Psychology,Developmental and Educational Psychology,Behavioral Interventions in Special Education
50,Life Sciences,Neuroscience,Cognitive Neuroscience,Analysis of Brain Functional Connectivity Networks
